Question,Answers
"what is the population of india","India's population is over 1.4 billion as of recent estimates.|Over 1.4 billion people in India!"
"how many people live in india","Over 1.4 billion people call India home!|India's got over 1.4 billion folks!"
"what is the national emblem of india","The Lion Capital of Ashoka is India's national emblem.|Lion Capital, India's emblem!"
"india's national emblem","Lion Capital, symbolizing strength and courage!|The Lion Capital, our pride!"
"who discovered gravity","Sir Isaac Newton discovered gravity.|Newton, the gravity guy!"
"who found gravity","Isaac Newton, thanks to that famous apple!|Sir Isaac Newton, apple-inspired!"
"what is h2o","H₂O is the chemical formula for water.|H₂O, that's water!"
"what is water made of","Water is H₂O, two hydrogen atoms and one oxygen.|H₂O: two hydrogens, one oxygen!"
"what is photosynthesis","It's the process by which plants make food using sunlight, carbon dioxide, and water.|Plants making food with sunlight? That's photosynthesis!"
"how do plants make food","Through photosynthesis, using sunlight, CO₂, and water!|Photosynthesis: sunlight, CO₂, water to food!"
"which planet is known as the red planet","Mars is called the Red Planet.|Mars, the Red Planet!"
"what is the red planet","Mars, known for its reddish hue.|It's Mars, all red and dusty!"
"how many bones in human body","There are 206 bones in the adult human body.|206 bones in us humans!"
"number of bones in humans","206 bones keep us standing tall!|Humans have 206 bones!"
"which gas do we inhale","We inhale oxygen and nitrogen, but we need oxygen to survive.|Oxygen and nitrogen, but oxygen's the key!"
"what gas do we breathe in","Oxygen, with a bit of nitrogen, keeps us alive!|We breathe in oxygen mostly!"
"who invented bulb","Thomas Edison is credited with inventing the light bulb.|Edison lit up the world!"
"who made the light bulb","Thomas Edison, lighting up the world!|Thomas Edison, bulb inventor!"
"what is the speed of light","Approximately 3 × 10⁸ meters per second.|Light's speed: ~300 million m/s!"
"how fast is light","Light zooms at about 300 million meters per second!|Light's super fast: 3 × 10⁸ m/s!"
"what is boiling point of water","100°C or 212°F at sea level.|Water boils at 100°C!"
"when does water boil","Water boils at 100°C at sea level.|100°C, that's when water boils!"
"what is dna","DNA is the molecule that carries genetic information in living organisms.|DNA, the code of life!"
"define dna","Deoxyribonucleic acid, the blueprint of life!|DNA: life's instruction manual!"
"what is gravity","Gravity is the force that attracts objects towards each other, like Earth pulling us down.|Gravity keeps us grounded!"
"explain gravity","Gravity keeps planets in orbit and us on the ground!|It's the force pulling everything together!"
"what is an atom","An atom is the smallest unit of an element, made of protons, neutrons, and electrons.|Atoms: tiny building blocks of everything!"
"define atom","Atoms are the building blocks of everything!|Atom: protons, neutrons, electrons!"
"who was akbar","Akbar was one of the greatest Mughal emperors of India.|Akbar, the great Mughal ruler!"
"who is akbar in history","Akbar, the Mughal emperor known for his wisdom and reforms.|Emperor Akbar, Mughal legend!"
"when did india get independence","India got independence on 15th August 1947.|August 15, 1947, India's freedom!"
"india's independence date","August 15, 1947, India's freedom day!|15th August 1947, India's big day!"
"who was bhagat singh","Bhagat Singh was a brave freedom fighter and revolutionary.|Bhagat Singh, fearless revolutionary!"
"who is bhagat singh","Bhagat Singh, a fearless Indian revolutionary.|Bhagat Singh, freedom fighter!"
"who was rani lakshmi bai","She was the queen of Jhansi and a fierce warrior in the 1857 revolt.|Rani Lakshmi Bai, Jhansi's warrior queen!"
"who is rani of jhansi","Rani Lakshmi Bai, the warrior queen of 1857!|Jhansi ki Rani, Lakshmi Bai!"
"who discovered india","Vasco da Gama was the first European to reach India by sea in 1498.|Vasco da Gama, found India in 1498!"
"who found india","Vasco da Gama, landing in India in 1498.|Vasco da Gama, first to sail to India!"
"who built taj mahal","Shah Jahan built the Taj Mahal in memory of his wife Mumtaz Mahal.|Shah Jahan, Taj Mahal's creator!"
"who made taj mahal","Shah Jahan, for his beloved Mumtaz Mahal.|Shah Jahan built the Taj for Mumtaz!"
"what is pythagoras theorem","In a right-angled triangle, a² + b² = c².|Pythagoras: a² + b² = c²!"
"pythagorean theorem","a² + b² = c² for right-angled triangles.|Right triangles? a² + b² = c²!"
"what is the value of pi","Pi is approximately 3.14159.|Pi's about 3.14159!"
"value of pi","Pi, roughly 3.14159, the circle's magic number!|Pi = ~3.14159!"
"what is area of circle","Area = π × r²|Circle area: πr²!"
"how to find circle area","Multiply pi by the radius squared: πr².|Area of a circle? π × r²!"
"what is perimeter of rectangle","Perimeter = 2 × (length + breadth)|Rectangle perimeter: 2(l + b)!"
"rectangle perimeter formula","2 times (length + breadth) for a rectangle.|2(length + breadth) for rectangles!"
"what is square root of 64","The square root of 64 is 8.|√64 = 8!"
"square root of 64","8, that's the square root of 64!|64's square root is 8!"
"what is 12 times 12","12 times 12 is 144.|12 × 12 = 144!"
"12 multiplied by 12","12 × 12 equals 144.|12 times 12? That's 144!"
"what is average","Average = (Sum of values) / (Number of values).|Average: sum ÷ count!"
"how to calculate average","Add all values and divide by their count.|Sum all numbers, divide by how many!"
"what is prime number","A number greater than 1 that has no divisors other than 1 and itself.|Prime: only divisible by 1 and itself!"
"define prime number","Prime numbers are only divisible by 1 and themselves, like 2, 3, 5.|Primes: 2, 3, 5, and more!"
"who is the army chief of india","General Manoj Pande is the current Army Chief of India.|General Manoj Pande, Army Chief!"
"current army chief of india","General Manoj Pande, leading the Indian Army.|Manoj Pande, current Army Chief!"
"how many commands in indian army","The Indian Army has 7 commands.|7 commands in the Indian Army!"
"indian army commands","Seven commands, like Northern, Southern, and Central.|Indian Army: 7 commands!"
"what is cds in india","CDS stands for Chief of Defence Staff.|CDS: Chief of Defence Staff!"
"who is cds of india","The Chief of Defence Staff coordinates the Army, Navy, and Air Force.|CDS coordinates our forces!"
"who was field marshal manekshaw","Sam Manekshaw was India's first Field Marshal.|Sam Manekshaw, first Field Marshal!"
"who is sam manekshaw","Field Marshal Sam Manekshaw, a 1971 war hero.|Manekshaw, 1971 war legend!"
"what is agni missile","Agni is India's long-range nuclear-capable ballistic missile.|Agni: India's ballistic missile!"
"agni missile details","Agni missiles, like Agni-V, can strike over 5000 km.|Agni-V: 5000+ km range!"
"what is brahmos","BrahMos is a supersonic cruise missile developed by India and Russia.|BrahMos: super-fast missile!"
"brahmos missile","BrahMos, a super-fast missile by India and Russia.|BrahMos: India-Russia missile!"
"who guards indian borders","BSF, ITBP, and Indian Army guard the borders.|BSF, ITBP, Army protect our borders!"
"who protects india's borders","Border Security Force, ITBP, and Army keep India safe.|Our borders? BSF, ITBP, Army!"
"what is para sf","Para SF is the elite special forces unit of the Indian Army.|Para SF: elite Indian commandos!"
"para special forces","Para SF, India's toughest commandos!|Para SF: toughest of the tough!"
"what is isro","ISRO stands for Indian Space Research Organisation.|ISRO: India's space agency!"
"what does isro do","ISRO launches satellites and explores space for India.|ISRO: satellites and space missions!"
"who is the founder of isro","Dr. Vikram Sarabhai is known as the father of ISRO.|Vikram Sarabhai, ISRO's founder!"
"who started isro","Vikram Sarabhai, the visionary behind ISRO.|Sarabhai started ISRO!"
"what is chandrayaan 3","Chandrayaan-3 is India's third lunar mission, landed near the Moon's south pole.|Chandrayaan-3: Moon landing success!"
"chandrayaan 3 mission","Chandrayaan-3, India's successful Moon landing mission!|Chandrayaan-3: lunar triumph!"
"what is aditya l1","Aditya-L1 is India's solar observation mission.|Aditya-L1: studying the Sun!"
"aditya l1 mission","Aditya-L1 studies the Sun from space.|Aditya-L1: India's solar mission!"
"what is gslv","GSLV is the Geosynchronous Satellite Launch Vehicle of India.|GSLV: ISRO's heavy-lift rocket!"
"gslv full form","Geosynchronous Satellite Launch Vehicle, ISRO's heavy-lifter.|GSLV: Geosynchronous Launch Vehicle!"
"what is pslv","PSLV is India's reliable Polar Satellite Launch Vehicle.|PSLV: ISRO's reliable rocket!"
"pslv full form","Polar Satellite Launch Vehicle, ISRO's workhorse.|PSLV: Polar Satellite Launch!"
"what is space x","SpaceX is a private space company founded by Elon Musk.|SpaceX: Elon Musk's space venture!"
"who owns space x","Elon Musk, the brain behind SpaceX.|Elon Musk owns SpaceX!"
"what is iss","ISS stands for International Space Station, a joint space project.|ISS: International Space Station!"
"what is international space station","ISS, a space lab orbiting Earth, built by many nations.|ISS: global space lab in orbit!"
"what is drdo","DRDO stands for Defence Research and Development Organisation.|DRDO: India's defense tech hub!"
"what does drdo do","DRDO develops defense tech and weapons for India.|DRDO: building India's weapons!"
"what is nag missile","Nag is India's anti-tank guided missile.|Nag: anti-tank missile by DRDO!"
"nag missile details","Nag, a fire-and-forget anti-tank missile by DRDO.|Nag: DRDO's tank-buster!"
"what is akash missile","Akash is a medium-range surface-to-air missile.|Akash: sky defender missile!"
"akash missile info","Akash, protecting India's skies with DRDO tech.|Akash: DRDO's air defense!"
"what is prithvi missile","Prithvi is India's tactical surface-to-surface missile.|Prithvi: tactical missile!"
"prithvi missile","Prithvi, a short-range missile for tactical strikes.|Prithvi: short-range striker!"
"what is agni v","Agni-V is India's intercontinental ballistic missile with range over 5000 km.|Agni-V: 5000+ km missile!"
"agni 5 missile","Agni-V, India's long-range nuclear-capable missile.|Agni-V: India's ICBM!"
"what is aerospace","Aerospace deals with the development of aircraft and spacecraft.|Aerospace: planes and rockets!"
"define aerospace","Aerospace is all about planes, rockets, and space tech.|Aerospace: sky and space tech!"
"what is aerodynamics","Aerodynamics is the study of air motion and its interaction with objects.|Aerodynamics: air flow science!"
"what does aerodynamics mean","Aerodynamics studies how air flows around objects like planes.|Aerodynamics: how air moves!"
"what is stealth technology","It makes aircraft or vehicles less visible to radar.|Stealth: radar-proof tech!"
"stealth technology meaning","Stealth tech hides planes from radar detection.|Stealth: invisible to radar!"
"what is tejas","Tejas is India's indigenous fighter aircraft developed by HAL.|Tejas: India's fighter jet!"
"tejas fighter jet","Tejas, India's homegrown light combat aircraft.|Tejas: HAL's pride!"
"what is amca","AMCA is India's 5th-gen stealth fighter jet project.|AMCA: 5th-gen stealth jet!"
"amca full form","Advanced Medium Combat Aircraft, India's stealth jet.|AMCA: Advanced Combat Aircraft!"
"what is mining","Mining is the process of extracting valuable minerals from the earth.|Mining: digging up minerals!"
"define mining","Mining digs up minerals and resources from the ground.|Mining: extracting earth's treasures!"
"what is coal","Coal is a fossil fuel used mainly for electricity generation.|Coal: powers electricity!"
"what is coal used for","Coal powers electricity and fuels industries.|Coal: fuels power plants!"
"what is bauxite","Bauxite is the ore of aluminium.|Bauxite: aluminium's source!"
"bauxite uses","Bauxite is processed to make aluminium.|Bauxite: makes aluminium!"
"what is uranium used for","Uranium is used in nuclear power generation.|Uranium: nuclear power fuel!"
"uses of uranium","Uranium fuels nuclear reactors for energy.|Uranium: powers reactors!"
"largest coal producer in india","Jharkhand is the top coal-producing state in India.|Jharkhand: India's coal hub!"
"which state produces most coal in india","Jharkhand, India's coal mining hub.|Jharkhand leads in coal!"
"which is the richest mining state in india","Odisha is rich in minerals like bauxite, iron ore, and coal.|Odisha: mineral-rich state!"
"richest mineral state in india","Odisha, packed with iron, bauxite, and more!|Odisha: India's mineral king!"
"what is diwali","Diwali, the festival of lights, celebrates the victory of good over evil.|Diwali: festival of lights!"
"diwali meaning","Diwali, a Hindu festival of lights, symbolizes hope and joy.|Diwali: hope and joy!"
"what is holi","Holi is the festival of colors, celebrating spring and love.|Holi: festival of colors!"
"holi festival","Holi, where colors and joy unite in celebration!|Holi: color and love!"
"who is lord ram","Lord Ram is the hero of the Ramayana, an incarnation of Vishnu.|Lord Ram: Ramayana's hero!"
"who was ram","Ram, the righteous prince of Ayodhya in the Ramayana.|Ram: Ayodhya's prince!"
"what is bollywood","Bollywood is India's Hindi-language film industry, known for vibrant movies.|Bollywood: Hindi film magic!"
"define bollywood","Bollywood, Mumbai's cinematic world of song and drama!|Bollywood: song and dance!"
"what is artificial intelligence","AI is tech that mimics human thinking, like learning and problem-solving.|AI: machines thinking smart!"
"define ai","Artificial Intelligence, machines acting smart like humans!|AI: smart machine brains!"
"what is python","Python is a versatile programming language, great for coding anything.|Python: code anything!"
"python programming","Python, a beginner-friendly language for apps, AI, and more.|Python: easy coding!"
"what is blockchain","Blockchain is a secure, decentralized ledger for transactions like crypto.|Blockchain: secure ledger!"
"blockchain meaning","Blockchain, a tamper-proof digital record for data.|Blockchain: safe data!"
"what is the longest river in india","The Ganges is the longest river in India.|Ganges: India's longest river!"
"longest river in india","Ganges, flowing over 2500 km across India.|Ganges: 2500+ km long!"
"highest mountain in india","Kangchenjunga is the highest mountain in India.|Kangchenjunga: India's tallest!"
"tallest peak in india","Kangchenjunga, India's highest at 8,586 meters.|Kangchenjunga: 8,586m!"
"what is the largest city in india","Mumbai is the largest city in India by population.|Mumbai: India's biggest city!"
"biggest city in india","Mumbai, India's bustling economic hub.|Mumbai: economic powerhouse!"
"what is yoga","Yoga is a physical, mental, and spiritual practice originating in ancient India.|Yoga: body and mind practice!"
"define yoga","Yoga, uniting body and mind through poses and meditation.|Yoga: poses and peace!"
"what is the national game of india","Field hockey is considered the national game of India.|Field hockey: India's game!"
"india's national game","Field hockey, a sport India excels in!|Hockey: national pride!"
"what is the largest desert in india","The Thar Desert is the largest desert in India.|Thar: India's biggest desert!"
"largest desert in india","Thar Desert, also known as the Great Indian Desert.|Thar: Great Indian Desert!"
"what is the supreme court of india","The Supreme Court is the highest judicial body in India.|Supreme Court: India's top court!"
"supreme court of india","India's top court, ensuring justice and constitutional rights.|Supreme Court: justice hub!"
"who is the chief justice of india","The Chief Justice of India leads the Supreme Court.|Chief Justice leads the court!"
"current chief justice of india","Check the latest updates for the current Chief Justice!|Latest Chief Justice? Check news!"
"what is gst in india","GST is Goods and Services Tax, a unified tax system in India.|GST: India's unified tax!"
"gst full form","Goods and Services Tax, simplifying India's tax structure.|GST: Goods and Services Tax!"
"what is aadhaar","Aadhaar is a 12-digit unique identity number issued in India.|Aadhaar: 12-digit ID!"
"aadhaar card","Aadhaar, linking citizens to services and benefits.|Aadhaar: India's ID card!"
"what is the national tree of india","The Banyan tree is the national tree of India.|Banyan: India's national tree!"
"india's national tree","Banyan, symbolizing strength and longevity.|Banyan: strength and roots!"
"what is the national fruit of india","The Mango is considered the national fruit of India.|Mango: India's national fruit!"
"india's national fruit","Mango, the king of fruits in India!|Mango: fruit king!"
"what is kumbh mela","Kumbh Mela is a major Hindu pilgrimage held every 12 years.|Kumbh Mela: huge pilgrimage!"
"kumbh mela festival","Kumbh Mela, a spiritual gathering of millions!|Kumbh: millions in faith!"
"what is the largest lake in india","Wular Lake in Jammu and Kashmir is India's largest freshwater lake.|Wular: India's biggest lake!"
"largest lake in india","Wular Lake, a scenic beauty in Kashmir.|Wular: Kashmir's gem!"
"what is the national river of india","The Ganges is considered the national river of India.|Ganges: national river!"
"india's national river","Ganges, revered and vital to India's culture.|Ganges: India's holy river!"
"what is the largest port in india","Mumbai Port is one of the largest ports in India.|Mumbai: major Indian port!"
"largest port in india","Mumbai Port, a key hub for trade.|Mumbai Port: trade hub!"
"what is the national heritage animal of india","The Indian Elephant is India's national heritage animal.|Elephant: India's heritage!"
"india's national heritage animal","Indian Elephant, majestic and culturally significant.|Indian Elephant: majestic!"
notepad,notepad.exe
"open notepad",notepad.exe
"launch notepad",notepad.exe
"open edge","start msedge"
"launch edge","start msedge"
"open microsoft edge","start msedge"
"open chrome","start chrome https://www.google.com"
"launch chrome","start chrome https://www.google.com"
"open google chrome","start chrome https://www.google.com"
"open chatgpt","start chatgpt"
chatgpt,"start chatgpt"
"launch chatgpt","start chatgpt"
"open ai chatbot","start chatgpt"
"open gemini","start msedge https://gemini.google.com"
"launch gemini","start msedge https://gemini.google.com"
"open google gemini","start msedge https://gemini.google.com"
"open searchai","start msedge https://www.perplexity.ai"
"open perplexity","start msedge https://www.perplexity.ai"
"launch search ai","start msedge https://www.perplexity.ai"
"open excel","start excel"
"launch excel","start excel"
"start microsoft excel","start excel"
"open word","start winword"
"launch word","start winword"
"start microsoft word","start winword"
"open calculator","start calc"
"launch calculator","start calc"
"start calc","start calc"
"open powerpoint","start powerpnt"
"launch powerpoint","start powerpnt"
"start microsoft powerpoint","start powerpnt"
"open youtube","start msedge https://www.youtube.com/"
"launch youtube","start msedge https://www.youtube.com/"
"open video site","start msedge https://www.youtube.com/"
"open grok ","start msedge https://grok.com/?show_subscribe=1"
"open gemini","start msedge https://gemini.google.com/app "
"what's good","All good here! What's the vibe today?|Just chilling, what's up with you?"
"how's it going","Going smooth like Python code! You?|All good, what's your mood?"
"sup","Yo, what's the deal?|Sup, ready to dive into something fun?"
"what's new with you","Just got a fresh batch of facts to share! What's new with you?|Updated and ready to roll, what's up?"
"how's life","Life's like a debug session—challenging but fun! How's yours?|Running smoothly, how's your day?"
"tell me something cool","Did you know India’s Chandrayaan-3 landed on the Moon’s south pole?|Python’s named after Monty Python, not the snake!"
"what's trending","AI and space tech are hot right now! Want a fact?|Check X for what's buzzing today!"
"give me a fun fact","India has the world’s largest postal network with over 150,000 post offices!|A byte is 8 bits, but you knew that, right?"
"i'm feeling low","Chin up! 'Every line of code you write is a step forward.' Want a joke?|Here’s a hug 🤗—let’s share a fun fact!"
"cheer me up","How about this: 'You’re one step away from greatness!' Want a story?|Let’s laugh—why did the coder prefer dark mode? Less strain!"
"what's coding","Coding is writing instructions for computers to create cool stuff!|It’s like telling a robot how to make your life awesome!"
"why learn python","Python’s easy, versatile, and powers AI, web, and more!|Python: code once, run everywhere!"
"what's machine learning","ML is teaching computers to learn from data, like predicting trends.|Machine learning: computers getting smarter with data!"
"define cloud computing","Cloud computing is using remote servers for storage and processing.|Cloud: your data lives in the sky!"
"what is github","GitHub is a platform to store, share, and collaborate on code.|GitHub: where coders hang out and share projects!"
"how to start coding","Begin with Python, try LeetCode, and build small projects!|Start with Python basics on W3Schools, then code daily!"
"best coding language","Python for beginners, C++ for speed, JavaScript for web!|Python’s your go-to for versatility!"
"what is hackathon","A hackathon is a coding marathon to build cool projects fast.|Hackathon: code, compete, create in 24 hours!"
"how to join a hackathon","Check Devpost or Hackerearth for events, form a team, and code!|Find hackathons on X or Major League Hacking!"
"what's a startup","A startup is a new company with big ideas, often tech-focused.|Startup: small team, big dreams!"
"who is elon musk","Elon Musk is the CEO of Tesla, SpaceX, and xAI, a tech visionary.|Musk: building rockets and AI!"
"what is tesla","Tesla makes electric cars and renewable energy solutions.|Tesla: electric rides and solar power!"
"what is neural network","A neural network mimics the brain to process data in AI.|Neural nets: AI’s brain-like power!"
"what is 5g","5G is the fifth-gen mobile network, super fast and low latency.|5G: blazing fast internet for your phone!"
"what is vr","VR is virtual reality, immersive digital worlds for gaming or work.|VR: step into a digital universe!"
"what is ar","AR is augmented reality, overlaying digital info on the real world.|AR: real world plus digital magic!"
"how to learn ai","Study Python, take AI courses on Coursera, and practice with datasets!|AI learning: Python + Kaggle projects!"
"what's the time","What's the time? I can check if you share your city!|Time check? Tell me your location!"
"weather in delhi","Want Delhi’s weather? Share the date or check X for updates!|Delhi weather? Hot or rainy, let me check!"
"how to reach noida from palam","Take the Delhi Metro to Botanical Garden, then Aqua Line to Knowledge Park!|Metro from Palam to Noida, ~1.5 hours, ₹70-100."
"best college in noida","Amity and Jaypee in Noida are top for B.Tech with great placements!|Noida colleges? Check Amity or IIMT!"
"what is jee main","JEE Main is India’s entrance exam for engineering colleges like NITs.|JEE Main: your ticket to top tech schools!"
"how to prepare for jee","Study NCERT, practice past papers, and join coaching like FIITJEE!|JEE prep: focus on physics, chem, math daily!"
"what is iit","IITs are India’s premier engineering institutes, like IIT Delhi.|IIT: top-tier tech education in India!"
"how to crack iit","Master JEE Advanced with consistent study and mock tests!|IIT goal: NCERT + practice + discipline!"
"what is upsc","UPSC conducts exams for India’s civil services like IAS, IPS.|UPSC: gateway to IAS and IPS!"
"how to prepare for upsc","Read NCERTs, follow The Hindu, and practice answer writing daily!|UPSC prep: current affairs + mock tests!"
"what is startup india","Startup India is a government initiative to boost entrepreneurship.|Startup India: funds and support for new ventures!"
"what is make in india","Make in India promotes manufacturing and investment in India.|Make in India: boosting local production!"
"who is apj abdul kalam","APJ Abdul Kalam was India’s missile man and former President.|Kalam: scientist and inspiration!"
"what is missile man","APJ Abdul Kalam, for his work on India’s missile program.|Missile Man: Dr. Kalam’s nickname!"
"what is ramayan","Ramayana is an ancient Indian epic about Lord Ram’s journey.|Ramayana: Ram’s tale of duty and love!"
"who is hanuman","Hanuman is Lord Ram’s devotee and a symbol of strength in Ramayana.|Hanuman: Ram’s loyal warrior!"
"what is mahabharat","Mahabharata is an epic about the Kurukshetra war and dharma.|Mahabharata: epic of duty and war!"
